1	2161
2	1205
3	974
4	1589
5	2002
6	2523
7	2696
8	3021
9	3141
10	3262
11	3014
12	2771
13	2582
14	2360
15	2120
16	1976
17	1787
18	1501
19	1356
20	1163
21	1016
22	906
23	776
24	654
25	531
26	526
27	389
28	360
29	336
30	260
31	181
32	198
33	166
34	155
35	107
36	89
37	85
38	62
39	81
40	48
41	56
42	45
43	41
44	26
45	39
46	26
47	22
48	13
49	10
50	16
51	9
52	7
53	6
54	8
55	8
56	8
57	5
58	7
59	8
60	4
61	5
62	6
63	1
64	2
65	2
66	4
67	4
68	2
69	2
71	1
72	3
74	1
75	3
81	1
82	1
83	4
85	1
95	1
96	2
100	1
133	1
144	1
